,name,url,loca,entre,info
175,Urban Gourmet – Honest Greens,https://honestgreens.com/,Endeavor Spain ,          Christopher Fuchs ,"Honest Greens offers farm-to-table chef-driven food from local suppliers in a quick, convenient, and affordable format. Consumers have a choice of customizable signature salads and entrees made from sustainably-sourced chef-prepared foods, and can order in-store, or on the Honest Greens app.
"
176,Urbvan,https://www.urbvan.com/,Endeavor Mexico ,"          Joao Albino ,           Renato Picard ","Urbvan is a platform-based mass transit mobility network that smartly connects and optimizes urban and intercity mobility for individuals and organizations.
"
177,Voicemod,https://www.voicemod.net/,Endeavor Spain ,          Jaime Bosch ,"Voicemod offers the best real-time voice changer and soundboard software for streamers and gamers.
"
178,VTEX,http://www.vtex.com.br,Endeavor Brazil ,"          Mariano Gomide de Faria ,           Geraldo Thomaz Jr. ","VTEX is an end-to-end commerce solution that leverages its microservices-based architecture to help companies sell more, operate efficiently, scale seamlessly and enhance customer experience. The company became a unicorn in 2020 and went public on the NYSE in July 2021.
"
179,Wallbox,https://wallbox.com/en/,Endeavor Spain ,          Enric Asuncion ,"Wallbox is a global designer, manufacturer, and distributor of smart charging systems that combine innovative technology with outstanding design and manage the communication between vehicle, grid, building and charger.
"
180,Waresix,http://waresix.com/,Endeavor Indonesia ,          Edwin Wibowo ,"Waresix is a logistics platform matching unused warehouse space with users in need of such facilities and aims to capitalize on the demand for flexible warehousing in Indonesia.
"
181,Wayflyer,https://www.wayflyer.com,Endeavor Ireland ,          Aidan Corbett ,"Wayflyer is a revenue based financing platform for e-commerce merchants. With access to e-commerce company’s data, Wayflyer gives offers within hours and funds customer accounts within days. 
"
182,Workit Health,https://workithealth.com/,"Endeavor Colorado , Endeavor Detroit ","          Lisa McLaughlin ,           Robin McIntosh ","Workit Health is a substance abuse telemedicine platform that combines virtual and in-person medical and mental health support.
"
183,Xapo,https://xapo.com/#home,Endeavor Argentina ,                    Wences Casares                    ,"Xapo offers a safe way to send, receive, store and spend bitcoin and traditional currencies globally.
"
184,Xepelin,https://xepelin.com/,Endeavor Mexico ,"          Sebastian Kreis ,           Nicolás de Camino ","Xepelin is a Chilean & Mexican SMB-focused FinTech. Founded in 2019, the company mission is to become the digital CFO SaaS for SMEs across Latin America – user friendly and “accessible to all”. 
"
185,XOCEAN,https://xocean.com/,Endeavor Ireland ,          James Ives ,"XOCEAN is an ocean data company utilising satellite controlled Uncrewed Surface Vessels (USVs). The company’s services include seabed mapping, asset integrity inspection, data harvesting, fisheries surveys and the collection of environmental data for both industry and government agencies.
"
186,Yalo,http://www.yalochat.com/,Endeavor Mexico ,          Javier Mata ,"Yalo develops an AI-based customer relationship management platform for businesses to help them offer a delightful customer experience.
"
187,Yassir Inc.,https://yassir.io,Endeavor Tunisia ,          Noureddine Tayebi ,"Yassir is a Maghreb-built super app that aims to revolutionize mobility in Africa by providing an ecosystem of services centered around ride hailing.
"
188,Ze*Brands,https://luuna.mx/,Endeavor Mexico ,"          Guillermo Villegas ,           William Kasstan ,           Carlos Salinas ","Zebrands (previously Luuna) offers high-quality sleep products at an affordable price with one- to four-day home delivery across Mexico.
"
189,Zenius,https://www.zenius.net/,Endeavor Indonesia ,          Rohan Monga ,"Zenius is Indonesia’s leading online learning platform. Its mission is to “spark the love of learning in everyone, making it accessible to all, everywhere”, and thus solve the education gap in Indonesia.
"
190,Zilingo,https://zilingotrade.com/en/,Endeavor Indonesia ,          Antiki Bose ,"With an aim to provide sustainable alternatives, Zilingo also enables businesses to source sustainable fabrics from the world’s largest range of over 500 certified recycled, natural and organic fabrics.
"
191,Zubale,https://en.zubale.com/,Endeavor Mexico ,"          Allison Campbell ,           Sebastian Monroy ","Zubale empowers retailers across fashion brands, supermarkets, specialty stores, and pharmacies to compete and win against the B2C aggregators (Rappi, iFood, Cornershop) while keeping their most important asset: their customers
"
192,123Seguro,https://123seguro.com.ar/,Endeavor Argentina ,"          Bruno Ferrari ,           Martin Ferrari  ","123Seguro.com is a digital insurance broker. It compares, sells and manages insurance policies (car, motorcycle and life) from top insurers in Argentina, Colombia and Chile.
"
193,2ULaundry,https://www.2ulaundry.com/,Endeavor Atlanta ,"          Dan D'Aquisto ,           Alex Smereczniak ","2ULaundry provides an innovative and effortless solution to laundry and dry cleaning in a hassle-free manner, such as subscription-based cleaning solutions. The company recently implemented a franchising model for their laundromats called Laundrolab. 
"
194,360VUZ,https://360vuz.com/,Endeavor Jordan ,          Khaled Zaatarah ,"360VUZ is a leading immersive Social Mobile App with the biggest international immersive premium content library of over 20K+ hours.
"
195,ABC da Construção,http://www.abccomvoce.com.br,Endeavor Brazil ,          Tiago Moura Mendonça ,"ABC is a dynamic and disruptive player in Brazil’s civil construction materials market.
"
196,ACE EdVenture,https://aceedventure.com/,Endeavor Malaysia ,"          Melinda Lim ,           Anne Tham ","ACE EdVenture (ACE) is a network of schools harboring a dynamic and interactive environment where students benefit from active learning methods.
"
197,Acqio,http://www.acqio.com.br/,Endeavor Brazil ,          Gustavo Danzi de Andrade ,"ACQIO is a fintech-focused on delivering the best payment solutions (point-of-sale terminals, card payment processing, digital sales management system) to small merchants in Brazil.
"
198,Acsendo,httsp://www.acsendo.com,Endeavor Colombia ,          Carlos Santana ,"Acsendo offers SMEs a low cost, easy-to-use, and customizable platform and data-driven tools to optimize talent.
"
199,Acudeen,http://www.acudeen.com,Endeavor Philippines ,          Mario Jordan Magellan III Fetalino ,"Acudeen is a Philippines-based fintech company that helps small and medium sized businesses bridge short term working capital gaps. 
"
200,Adglow,http://www.adglow.com/,Endeavor Spain ,          Juan Dominguez ,"Adglow is an online advertising technology company focused on social advertising and performance marketing. After founding and leading the company’s international expansion, Juan serves today as chairman.
"
201,Adobo Connection,https://delivery.adobogroup.ph/,Endeavor Philippines ,          Meredith Ngo ,"Adobo Connection celebrates the Philippines’ national dish by providing traditional but innovative versions of pork, chicken, and beef adobo in a fast-casual dining setting. 
"
202,Adphorus,http://adphorus.com,Endeavor Turkey ,"          Burcu Göbülük ,           Volkan Çağsal ","Adphorus is a leading performance marketing platform and Facebook Marketing Partner based in Istanbul.
"
203,Aemulus Holdings Bhd,http://www.aemulus.com/,Endeavor Malaysia ,          Sang Beng Ng ,"Aemulus designs cheaper and faster automated test equipment (ATE) as well as test and measuring instruments (TMI) for the semiconductor industry. 
"
204,Aerobotics,https://about.aerobotics.io/,Endeavor South Africa ,"                    James Paterson                    ,                     Benji Meltzer                    ","Aerobotics is a data analytics company using aerial imagery and machine learning algorithms to optimize crop performance for farmers around the world.
"
205,Africa Healthcare Network,http://www.africahealthcarenetwork.com/,Endeavor Kenya ,          Nikhil Pereira-Kamath ,"Africa Healthcare Network (AHN) is a network of dialysis clinics partnering with hospitals to provide high-quality life-saving dialysis at an affordable cost in the underserved Sub-Saharan Africa market. 
"
206,Africa’s Talking,https://www.africastalking.com,Endeavor Kenya ,          Samuel Gikandi ,"Africa’s Talking is the leading customer engagement platform in Sub-saharan Africa, working with the fastest growing startups in the region to help them build highly personalized communication and payment experiences for customers. 
"
207,Agate,https://www.agatestudio.com/,Endeavor Indonesia ,          Arief Widhiyasa ,"Agate Studio is a game development studio, creating a wide array of B2C games available on mobile apps and online, including the popular and award-winning Football Saga 2.
"
208,AgIdea,https://www.agidea.com.ar/,Endeavor Argentina ,"          Gonzalo Grigera ,           Mariano Battista ","AgIdea developed a contract research platform which provides scientific support to R&D and regulatory projects.
"
209,Agrofy,https://www.agrofy.com.ar,Endeavor Argentina ,          Alejandro Larosa ,"Agrofy is a global agribusiness e-commerce ecosystem.
"
210,Aguamarina,https://www.ceibo.bio/,Endeavor Chile ,          Pamela Chavez ,"Aguamarina is an industrial biotechnology company for the mining sector, working on making mining a more sustainable – and ultimately “zero-waste” – activity.
"
211,AIM Manager,https://aimmanager.com/,Endeavor Chile ,"          Gert Findel ,           Carlos Contreras  ","AIM offers property management software for large-scale real estate operators (supermarkets, malls etc). Its services include inventory control, assets and maintenance, access control, communications and operating efficiency.
"
212,AirTies,https://www.airties.com/,Endeavor Turkey ,          Bulent Celebi ,"AirTies provides wireless solutions for the residential and small business market in Europe, the Middle East, and Africa.
"
213,AIVA,https://aiva.com/en/,Endeavor Uruguay ,"          Federico Cella ,           Maria Noel Ache ","Aiva is a company specialized in wealth management solutions for affluent and high-net-worth clients in Latin America and the Caribbean.
"
214,Aivo,https://www.aivo.co,Endeavor Argentina ,          Martin Frascaroli ,"Aivo provides artificial intelligence communication solutions with the aim of transforming the way companies and customers interact.
"
215,"Akervall Technologies, Inc.",http://www.akervalltechnologies.com/,Endeavor Detroit ,"          Sassa Akervall ,           Jan Akervall ","Akervall Technologies produces SISU™, a mouth guard for sports, and SOVA™, a night guard for grinding, that are thinner, stronger and much more comfortable than conventional mouth guards.
"
216,Akinon,https://www.akinon.com,Endeavor Turkey ,"          Tolga Tatari ,           Ahmet Emre Sarı ","Akinon is an omnichannel commerce platform designed to streamline retail sales from online and physical stores.
"
217,Al Ameed Coffee,http://www.alameedcoffee.com,Endeavor Jordan ,"          Adel Daher ,           Basel Daher ","Al Ameed Coffee is the region’s leading quality oriented coffee manufacturing and retail company based in Jordan.
"
218,Al Sagheer Group,http://www.mohamedalsagheer.com/,Endeavor Egypt ,"                    Mohamed Al Sagheer                    ,           Mostafa Al Sagheer  ","Al Sagheer Group provides French-inspired beauty services, bringing consistent, high quality products and services to the Egyptian beauty industry.
"
219,Al-Hatab Bakery,http://alhatab.com.sa/,Endeavor Saudi Arabia ,"          Ammar Aldaajan ,           Moath Aldaajan ","Al-Hatab Bakery is a retail chain in Saudi Arabia selling a wide variety of baked goods and gourmet specialties catered to local tastes. 
"
220,albo,http://www.albo.mx,Endeavor Mexico ,          Ángel Sahagun ,"Albo is a Mexican challenger bank, offering mobile banking, virtual/physical cards, peer-to-peer transactions, bill pay, cash advance loans, and budgeting tools and services for customers. 
"
221,Alcatraz AI,https://alcatraz.ai/,Endeavor Bulgaria ,"          Vince Gaydarzhiev  ,           Tina D'Agostin ","Alcatraz AI transforms access control by leveraging artificial intelligence and analytics to make powerful decisions at the edge, where your face becomes your credential. 
"
222,Aldeamo,https://www.aldeamo.com/,Endeavor Colombia ,"          Hans Christian Boehlke ,           Alfredo Angel ,                     Carl Petter Boehlke                    ","Aldeamo allows its customers to reach consumers on any type of mobile phone without having to use any mobile data, by using SMS, email verification, push notifications, Whatsapp and voicemail.
"
223,Alegra,http://www.alegra.com/,Endeavor Colombia ,"          Santiago Villegas ,           Jorge Soto ","Alegra is an invoicing and accounting software designed for managers of small businesses. 
"
224,Algo Group,http://www.algoconsulting.net/,Endeavor Morocco ,          Tarik Fadli ,"Algo Consulting Group is an international business and technology services and solutions provider that helps companies large and small optimize organizational performance by mapping strategic goals and objectives to IT initiatives.
"
225,Alice,https://www.alice.com.br/,Endeavor Brazil ,"          Matheus Moraes ,           André Florence ,           Guilherme Azevedo ","Alice is revolutionizing Brazilian private health care, becoming the first healthcare/insurance provider to offer an integrative care solution focusing on primary care, lowering care costs and increasing positive health outcomes.
"
226,Alissar,http://www.alissarflowers.com,Endeavor Jordan ,"          Ghassan Mzayek  ,           Alissar Mzayek ","Alissar is one of MENA’s leading floral solutions providers.
"
227,Alivio,https://credito.aliviocapital.com/tu-credito-para-la-salud-en-mexico,Endeavor Mexico ,          Patricio Villarreal Zambrano ,"Alivio Capital is a non-bank financial institution that provides consumer loans for patients in need of healthcare services. 
"
228,Alltournative,https://www.alltournative.com,Endeavor Mexico ,          Carlos Marin ,"Alltournative combines sustainable adventure tourism with indigenous culture in Cancun and the Mayan Riviera.
"
229,AlMouneer,http://www.almouneer.com/,Endeavor Egypt ,"          Rania Kadry ,           Noha Khater ","AlMouneer operates diabetic retina centers to improve the quality of life for patients with diabetes.
"
230,Alo Tech,https://alotech.com.tr/,Endeavor Turkey ,          Cenk Soyak  ,"AloTech offers cloud-based, “pay-as-you-go” call center solutions as opposed to traditional, on-premise, capital-intensive products.
"
231,Altibbi,http://www.altibbi.com,Endeavor Jordan ,"          Jalil Allabadi ,           Ayman Sharaiha ","Altibbi is an interactive online Arabic health portal, providing users with direct access to information from health professionals in a convenient, user-friendly, confidential, and timely manner.
"
232,ALTO,http://www.altibbi.com,,,"ALTO focuses on the prevention and reduction of capital losses in any type of industry, integrating data, analysis and insights to drive actions that generate operational efficiency.
"
233,AMARO,http://www.amaro.com,Endeavor Brazil ,"          Dominique Oliver ,           Lodovico Brioschi  ","AMARO is a digitally native vertical direct-to-consumer brand that sells high-quality apparel, footwear, and accessories at fair prices, leveraging data and technology to dis-intermediate the high markup wholesale/resale model and providing customers with a superior brand and product experience. 
"
234,Ambar,http://www.ambarbrasil.com.br,Endeavor Brazil ,          Bruno Balbinot ,"Ambar is Brazilian provider of modular housing solutions intended to minimize the cost of housing.
"
235,Andiago!,https://andiago.co/,Endeavor Puerto Rico ,"          Leandro Armas ,           Carlos Garcia ","Andiago! is a modern marketplace of extraordinary restaurant experiences in cities around the world.
"
236,Angelus,http://www.angelusdental.com/,Endeavor Brazil ,"          Sônia Madi Alcântara ,            Roberto Queiroz Martins Alcântara ","Angelus provides dental solutions with a scientific and technological basis.
"
237,Anghami,http://www.anghami.com,Endeavor Lebanon ,"          Elie Habib ,           Eddy Maroun ","Anghami is the leading digital music service in the Middle East, offering music enthusiasts the opportunity to listen to a wide variety of Arabic and English tracks from the convenience of a mobile phone. Anghami went public on the NASDAQ via SPAC in 2021.
"
238,Antara IT,https://www.antaramining.cl/,Endeavor Chile ,"          Patricio Rojas ,           Alfredo Gómez ","Antara provides mining companies with software to track the inventory, quality and location of their products from initial exploration to delivery at port. 
"
239,Antelope Audio,http://www.antelopeaudio.com,Endeavor Bulgaria ,          Igor Levin ,"Through its cutting edge hardware and software technology solutions, Antelope Audio ensures high quality audio across a number of specialized markets in the music production industry.
"
240,Apollo Agriculture,http://www.apolloagriculture.com/,Endeavor Kenya ,"          Eli Pollak ,           Benjamin Njenga ","Apollo Agriculture is a platform designed to help farmers with modern farming in emerging markets. 
"
241,Aprende,https://aprende.com/,Endeavor Miami ,,"Aprende is an educational platform for vocational skills in Latin America and the United States’ Hispanic markets, offering a wide array of courses and training.
"
242,Aqwire,https://www.qwikwire.com/,Endeavor Philippines ,          Ray Refundo ,"Qwikwire provides real estate solutions for brokers and property developers, including SaaS property management solutions, SAP-integrated billing and invoicing systems, cross-border settlements via licensed remittance channels, and property listing.
"
243,ArabiaWeather Inc.,http://corporate.arabiaweather.com/,Endeavor Jordan ,"          Ehab Al-Shurafa ,           Mohammed Al-Shaker ","ArabiaWeather provides weather products, services and solutions to consumers and businesses in the Middle East and North Africa.
"
244,ArabNet,http://www.arabnet.me,Endeavor Lebanon ,          Omar Christidis ,"Arabnet is an events, insights and innovation program organizer focused on tech business and innovation in the MENA region. 
"
245,Arabot,http://arabot.io/,Endeavor Jordan ,"          Kais Hassan ,           Abdallah Faza ","Arabot is the first intelligent chatbot built specifically for the Arabic language, leveraging AI and a deep machine learning to accurately and efficiently analyze conversations across Arabic dialects.
"
246,Aranda Software,https://www.arandasoft.com,Endeavor Colombia ,          Alberto Lederman ,"Aranda Software offers business service management solutions.
"
247,Arbusta,http://www.arbusta.net/,Endeavor Argentina ,          Federico Seineldin ,"Arbusta provides agile productive tech squads that can rapidly be sourced at competitive price.
"
248,ArcAqua,http://www.arcaqua.com/,Endeavor South Africa ,          Crispin Russell ,"ArcAqua brings the power of Ozone to the food processing industry where the presence of high microbial counts contaminate fresh produce. ArcAqua replaces existing environmentally unfriendly sanitizing solutions by killing 99.99% of all known bacteria and more effectively reducing TMA (total microbial activity).
"
249,Archdaily,http://www.archdaily.com,Endeavor Chile ,"          David Basulto ,           David Assael ","Archdaily is an architecture website that provides knowledge, inspiration, and tools for architects. 
"
250,Arizona,http://www.arizona.com.br,Endeavor Brazil ,          Marcus Hadade ,"Arizona is a Brazil-based advertising campaign management platform.
"
251,Armut,https://armut.com,Endeavor Turkey ,"          Erol Değim ,           Başak Taşpınar Değim  ","Armut.com is an online marketplace that allows individuals to hire local service professionals based on quotes they provide.
"
252,Arquivei,https://arquivei.com.br/,Endeavor Brazil ,"           Christian De Cico ,           Isis Abbud ","Arquivei sells a digital bookkeeping program that streamlines invoicing for its customers.
"
253,Artemest,http://www.artemest.com,Endeavor Italy ,"          Marco Deseri  ,           Marco Credendino  ","Artemest connects the world of luxury handcrafted goods to global enthusiasts, offering a curated marketplace for design objects made by artisans and independent makers. 
"
254,Arvento,http://www.arvento.com,Endeavor Turkey ,          Ozer Hincal ,"Arvento develops and sells hardware and software that enables its clients -businesses and government agencies- to monitor their automotive fleets from computers and phones.
"
255,ASCON,https://www.ascon.cl/,Endeavor Chile ,"                    Manuel Aravena                    ,                     Juan Pablo Salas                    ","ASCON develops solutions in the areas of design and construction of vessels and naval craft.
"
256,ASK for Human Capacity Building,http://www.ask-arabia.com/,Endeavor Jordan ,          Amin Amin ,"ASK offers human capacity building services for the Arab region, and acts as the bridge between education and employment.
"
257,Asuan,http://www.asuan.com.uy,Endeavor Uruguay ,"          Eduardo Delbono ,           Alvaro Maldonado ","Asuan designs effective food processing systems for food plants in Latin America from processing, to debonding, to boxing.
"
258,Atlantia Search,http://atlantiasearch.com/,Endeavor Mexico ,"          Daria Nikitina ,           Mayte Velazquez ,           Juan Jose Mora Villanueva ","Atlantia Search is Latin America’s largest marketplace for consumer insights. 
"
259,Atmo Digital Media,http://www.atmodigital.com.br/,Endeavor Brazil ,          Arnold Eugenio Correia  ,"Atmo Digital Media offers varied and quality content in the areas of corporate TV, out-of-home digital media, and audiovisual for events.

"
260,Autochek,https://autochek.africa/ng,Endeavor Nigeria ,          Etop Ikpe ,"Autochek is a one-stop auto-needs platform that facilitates the sales and purchase of vehicles, provides car financing, and offers aftersales maintenance services.
"
261,Avantia,http://www.avantia.com.br,Endeavor Brazil ,"          Eduardo Ferreira Lima ,           Silvio Aragão  ","Avantia integrates technology solutions for clients in the public and private sectors in the electronic security, intelligent video analytics, and IT infrastructure markets. 
"
262,AwanTunai,http://awantunai.co.id/,Endeavor Indonesia ,"          Dino Setiawan ,           Windy Natriavi ","AwanTunai is a supply chain digitization solution with embedded financing for unbanked micro SMEs in Indonesia, focusing on traditional supply chain players within the fast-moving consumer goods industry. Wholesalers can manage their operations and inventory and obtain financing for themselves to help them grow and prosper.
"
263,Axeso5,https://www.axeso5.com,Endeavor Argentina ,          Cristian Schweizer ,"Axeso5 is an online game publisher and the first multi-player online games platform in Latin America, 100% in Spanish and free.
"
264,Ayannah,http://www.ayannah.com/,Endeavor Philippines ,          Mikko Perez ,"Ayannah provides affordable and accessible digital financial services to the world’s emerging middle class, many of whom are migrants and/or unbanked. 
"
265,b-fit,http://b-fit.com.tr,Endeavor Turkey ,          Bedriye Hülya ,"b-fit is Turkey’s first national chain of women-only gyms, using an effective franchising model to empower other Turkish women.
"
266,B2,https://www.linkedin.com/in/felipe-ribeiro-89ba402a/,Endeavor Brazil ,"          Felipe Ribeiro ,            Carlos Balma ,           Ricardo Buckup ","B2 is a communication and entertainment company focused on young people. 
"
267,Baba Rafi,http://www.babarafi.com,Endeavor Indonesia ,          Hendy Setiono ,"Kebab Turki Baba Rafi is a Middle Eastern-inspired fast food brand in Indonesia, managing 1,000 + carts, stands, and small store-fronts.
"
268,BabyTuto,http://www.babytuto.com/,Endeavor Chile ,"          Daniela Lorca   ,           Desiree Grinspun  ","BabyTuto is an e-commerce business for baby and children’s products.
"
269,Balqees Honey,http://www.balqees.com,Endeavor UAE ,          Riath Hamed ,"Balqees sources the purest, rarest raw honey from beekeepers and farms in Yemen and other countries around the world.
"
270,BAMfi,https://www.bamfi.com/,Endeavor Atlanta ,          Todd Ehrlich ,"BAMfi provides technology and capital solutions to blue-collar companies. Todd, who was selected as an Endeavor Entrepreneur with this company, sold the business and now runs Rule 1 Ventures. 
"
271,Band Industries,https://www.roadietuner.com/,Endeavor Lebanon ,"          Hassane Slaibi ,           Bassam Jalgha ","Band Industries is a music technology company building the next generation musicians’ toolkit.
"
272,Bankingly,http://www.bankingly.com,Endeavor Uruguay ,          Martin Naor ,"Bankingly provides digital channels — mobile, online and conversational banking — to financial institutions that focus on low-income and underserved customers.
"
273,Banza,https://www.eatbanza.com/,Endeavor Detroit ,"          Brian Rudolph ,           Scott Rudolph ","Banza is a “food innovation” company with the mission to take the foods people love and make them better by using more nutritious ingredients. Banza’s first product is pasta made from chickpeas – with double the protein, four times the fiber, and nearly half the net carbs of traditional pasta. 
"
274,Baraka Group,https://baraka-group.com/,Endeavor Egypt ,          Ahmed Ragab  ,"Baraka Group is a brand with over 30 retail locations in metropolitan and resort locations throughout Egypt. It operates in an array of different industries: optics, fashion, jewelry, and construction.
"
275,Bashar Soft,https://www.basharsoft.com/,Endeavor Egypt ,          Ameer Sherif ,"BasharSoft connects job-seekers with career opportunities through two platforms, Wuzzuf and Forasna, which cater to both the white collar and blue collar labor markets.
"
276,Bateriku,http://bateriku.com/,Endeavor Malaysia ,          Azarol Faizi ,"Bateriku provides car owners with easily accessible, high-quality battery replacement 24 hours a day via app booking, web booking, hotline, and social media. 
"
277,Baydöner,http://www.baydoner.com,Endeavor Turkey ,"          Feridun Tunçer ,           Levent Yılmaz ","Baydoner (“Mr. Doner”) offers consumers high-quality iskender doner at fast-food prices.
"
278,Bayzat,https://www.bayzat.com/,Endeavor UAE ,"          Talal Bayaa ,           Tarek Bayaa ","Bayzat is a Dubai-based HR, payroll and insurance solutions software provider for SME employers.
"
279,Bazaar,https://www.bazaartech.com/,Endeavor Pakistan,"          Hamza Jawaid      ,           Saad Jangda ","Bazaar’s suite of digital products empowers merchants in Pakistan to simplify and grow their businesses. The Bazaar retail app provides a one-stop-shop to purchase thousands of products for merchants’ stores and the company’s fintech products include a digital ledger for simple bookkeeping and faster debt collection, and a lending product.
"
280,Bearaby,https://bearaby.com/,Endeavor UAE ,          Kathrin Hamm ,"Bearaby is a sustainable home wellness brand on a mission to create a calmer, more comfortable world: one nap at a time. Bearaby differentiates itself by serving a superior product to its customers, owning proprietary technology for its patented products and manufacturing equipment, and having direct access to a distributed and resilient supply.
"
281,Bedu,http://www.bedu.org/,Endeavor Mexico ,          Moís Cherem Arana ,"Bedu is a blended learning platform intended to unlock the potential to learn technology, business and languages. 
"
282,Beesline,http://www.beesline.com/,Endeavor Lebanon ,"          Maha Arayssi Rifai ,           Mohamad Arayssi ","Beesline is a brand of natural personal care products developed and produced entirely in Lebanon.
"
283,BehaVR,https://behavr.com/,Endeavor Louisville ,          Aaron Gani ,"BehaVR develops general wellness and digital therapeutics (DTx) virtual reality experiences to help users address stress, pain, addiction and other mental health issues.
"
284,Belatrix,https://www.belatrixsf.com,Endeavor Argentina ,"          Federico Robbio ,           Alejandro Robbio ,           Luis Robbio ","Belatrix Software helps companies thrive in the digital world by turning their ideas into high quality, innovative software based on highly-tuned Agile development processes. Belatrix was acquired by Globant in 2019.
"
285,Beleza Natural,http://www.belezanatural.com.br,Endeavor Brazil ,"          Leila Velez ,           Rogério Assis ,                     Zica Assis                    ","Beleza Natural is a beauty salon business specializing in tightly-curled and wavy hair, which created and patented treatments and an innovative process of applying the product.
"
286,Bellísima,https://bellisima.mx/,Endeavor Mexico ,          Alfredo Abraham Azar ,"Bellísima offers a range of innovative cosmetic products and beauty tools for the modern woman who looks to experiment and have fun with many hair colors and styles. 
"
287,Belvo,https://belvo.com/,Endeavor Mexico ,"          Pablo Viguera ,           Uri Tintore ","Belvo is the leading Open Finance API platform for LatAm, enabling any company or developer to access and interpret their end-users financial information through one easy-to-use API. Belvo’s technology is the easiest way to connect bank accounts and sources of financial information to any App.
"
288,Ben & Frank,http://www.benandfrank.com,Endeavor Mexico ,"          Maria Jose Madero ,           Eduardo Paulsen ,           Marina Castillo ","Ben & Frank is a fashionable and affordable eyewear brand in Mexico.
"
289,benCorp,http://www.bencorp.com.br,Endeavor Brazil ,          Luis Alexandre Chicani ,"BenCorp provides strategic tools to boost health businesses, including occupational health management, reduction in health insurance costs, and benefits management. 
"
290,BEONPRICE,https://beonprice.com/en/,Endeavor Spain ,"          Rubén Sánchez  ,           Emilio Galan  ","Beonprice is a Revenue Management solution system. Based on advanced Big Data technology, Beonprice facilitates and optimizes price management decisions in the hotel industry.
"
291,Bercia,http://www.bercia.cl/,Endeavor Chile ,          Abishai Rovner ,"Bercia imports construction and decoration materials for corporate clients, specializing in green-building solutions including for major projects with LEED certification.
"
292,Beso Francés,https://besofrances.com/,Endeavor Peru ,"          Samantha Lafosse-Marin ,           Christian Suarez ","Beso Francés is Peru’s 1st fast-casual creperie chain, offering a unique French experience that brings the essence of Parisian romance to Lima. 
"
293,BigBox,https://www.bigbox.com.ar/,Endeavor Argentina ,          Gaston Parisier ,"Bigbox alleviates the pressure from gift givers to find the “perfect” gift by curating unique portfolios from experiences.
"
294,Binnaz,http://www.binnazabla.com,Endeavor Turkey ,"          Kaya Diker ,           Sertac Tasdelen ","With its algorithmic fortune teller and psychic marketplace offerings, Binnaz connects individuals to fortune-based entertainment every day.
"
295,Bio Insumos Nativa,http://www.bionativa.cl,Endeavor Chile ,"          Paulo Escobar ,           Eduardo Donoso ","Bio Insumos Nativa is a biotechnology company dedicated to the development, production and commercialization of organic agricultural products in Latin America.
"
296,Bioelements,https://bioelementsla.com/,Endeavor Chile ,"          Juan Eduardo Joannon ,           Jose Ignacio Parada da Fonseca ","Bioelements manufactures and sells biodegradable packaging products, which are made using a proprietary resin, BioE-8, that reduces the degradation of packaging materials from 400 years (plastic) to 6-20 months. 
"
297,bioFeeder,https://www.biofeeder.net/,Endeavor Ecuador ,"          Fernando Pino ,           Diego Crespo ","bioFeeder’s SaaS / IoT platform enables farms to improve shrimp growth and survival rates by releasing food into their ponds incrementally via connected feeders.
"
298,BioFiltro,http://www.biofiltro.cl,Endeavor Chile ,"          Rafael Concha ,           Matías Sjogren ","BioFiltro has created an energy-efficient, chemical-free, low-cost, and odorless wastewater treatment technology using earthworms and bacteria.
"
299,Bioled,http://www.bioled.cl,Endeavor Chile ,"          Claudio Bertin ,           Cristina Navarro ,           Ximena Navarro ","Bioled provides salmon farms with specialized LED lamps and expertise in photoperiodic systems to increase the volume and quality of the fish they produce.
"
300,BitPay,https://www.bamfi.com/,Endeavor Atlanta ,          Stephen Pair ,"BitPay facilitates the entire cryptocurrency transaction process, allowing consumers to acquire and spend Bitcoin and Bitcoin Cash, and supplying merchants and enterprises with the capacity to accept and disburse blockchain payments.
"
301,Blessing,http://www.blessingonline.com,Endeavor Lebanon ,          Rana Koteich Najjar ,"Blessing’s shops offer ready-made and customizable gifts, chocolate, and party favors, tailored for special occasions. 
"
302,Blue Star Group,http://www.bsg.global,Endeavor Argentina ,          Martin Castelli ,"Blue Star Group is the parent company of two fast-fashion accessory brands in Latam: Todomoda and Isadora, which are trendy, affordable, and high-quality, and cater towards teens and young to mature woman.
"
303,BMB Group,http://www.bmb-group.com/,Endeavor UAE ,"          Bilal Ballout ,           Mohamad Khachab ","BMB is a food company offering chocolate, Mediterranean sweets, healthy snacks, with two state-of-the-art food production facilities based in Dubai.
"
304,Bo’s Coffee,http://boscoffee.com/,Endeavor Philippines ,                    Steve Benitez                    ,"Bo’s Coffee is the Philippines’ first nationwide specialist coffee chain offering a blend of homegrown beans. Celebrating sustainability and Philippine local communities, Bo’s serves coffee from local farmers and a selection of food and beverages made by entrepreneurs who share Bo’s values, all in a setting of locally crafted furniture and décor.
"
305,Boatsetter,https://www.boatsetter.com,Endeavor Miami ,"          Andy Sterner ,           Jackie Baumgarten ","Boatsetter is a peer-to-peer boat sharing platform that combines the rental mechanics of Airbnb with the on-demand labor dynamics of Uber to deliver a hassle-free boat rental experience.
"
